epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,3052.97,1.33321,0.95548,0.00468,0.76,0.64821,0.75013,0.51497,1.15595,0.85174,0.00606,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,3102.01,1.30546,0.93181,0.00443,0.76981,0.64973,0.74577,0.50983,1.16291,0.86663,0.00605,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,3152.52,1.30719,0.93849,0.00465,0.79083,0.62623,0.74468,0.50963,1.18197,0.85253,0.00613,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,3200.91,1.29127,0.9131,0.00451,0.77824,0.62851,0.74049,0.51139,1.15275,0.87979,0.00603,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,3249.99,1.32702,0.9373,0.00464,0.76452,0.63988,0.74507,0.51583,1.15979,0.85527,0.00611,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,3299.11,1.31515,0.94928,0.00471,0.79047,0.62472,0.74822,0.51596,1.1626,0.8529,0.00608,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,3347.03,1.32818,0.92391,0.00461,0.76049,0.64998,0.7469,0.51633,1.16065,0.84428,0.0061,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,3396,1.28292,0.906,0.00445,0.75442,0.6498,0.7457,0.51348,1.1719,0.85713,0.00611,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,3444.38,1.28558,0.9164,0.00444,0.77899,0.62851,0.74642,0.51443,1.17564,0.85133,0.00616,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,3493.9,1.29342,0.91396,0.00462,0.76765,0.63609,0.74317,0.51099,1.16406,0.87037,0.00611,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,3542.23,1.30162,0.92705,0.00456,0.77406,0.63912,0.74271,0.50781,1.16903,0.87913,0.00609,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,3592.74,1.28565,0.912,0.00455,0.76018,0.64519,0.7493,0.52031,1.16491,0.84726,0.00613,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,3640.84,1.32483,0.92837,0.00463,0.78132,0.63927,0.75414,0.5221,1.14259,0.86206,0.00591,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,3689.06,1.28946,0.88764,0.00448,0.80265,0.62288,0.74939,0.51793,1.14554,0.85075,0.00601,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,3738.36,1.29285,0.9019,0.0044,0.75535,0.65308,0.75031,0.51776,1.16498,0.84009,0.00612,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,3787.19,1.27276,0.89238,0.00439,0.78079,0.63988,0.75132,0.51941,1.15429,0.82669,0.00605,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,3840.34,1.29121,0.89228,0.00449,0.78424,0.63934,0.75242,0.52129,1.15673,0.84134,0.00606,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,3890.75,1.31056,0.90557,0.00452,0.80928,0.62547,0.75401,0.517,1.15942,0.83927,0.00604,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,3940.64,1.26971,0.88285,0.00447,0.77973,0.63685,0.75353,0.51978,1.16322,0.82148,0.00606,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,3989.11,1.29457,0.89865,0.0045,0.76094,0.65959,0.75538,0.52264,1.16018,0.82911,0.00602,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,4040,1.26954,0.88612,0.0045,0.79714,0.6376,0.75756,0.52299,1.15654,0.8397,0.00601,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,4088.05,1.27143,0.88777,0.00449,0.77696,0.64705,0.75622,0.5222,1.16247,0.8432,0.00609,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
